0,7+6+2+7+3+6+5*2+4+2+4+7+2+4+3*3+3+5+4+7+6+4+6+7+6+5*2*7+7+3+7+7,215
1,4+2*4+4+6+7+3+2+5+6+2+7+3+5+4+5+4+7+7*7+6+3+7+5+2*3+5*2+2+3+3+7,183
2,6+6*2+7+6+2+6+2+2+3*3+6*2+6+5+6+3+2+6+7+5+2*4+3+5+2+3+3+3+3+2+6,142
3,5+4+7*3+5+4+6+4+5+4+4+6+6+7*7+6+6+4+2+6+2+5+4+5+3+7+6+4+2+2+7+2,196
4,3+4+6*7+7+3+2+3+7+6+5+7+4*7+2+2+4+7+2+4+4+3+5+4+6+3*6+6*7+2+4+7,233
5,2+6+2+7+6+7+3+3+7+7+2+5+6+7+6+7*4+2+2+7+7+5*3+5+5+2+6+5+6+6+5+6,183
6,5*5+5+4*4*6+7+3+5+3+6+7+2+2+3+7+4+5*4+7+7+3+7+4*7+4*7+7+4+2+6+6,300
7,3+3+4+7+4+7+6*7+4+6+6+2+5+2+3+2+2*5*4+5+2+4+2+3+3*3+7+7*7+5*3+5,241
8,4+7+4+5+4*2+5+7+7+3*5+5+6+6+7+4+3+4+4+7+2+2+7+5+4*3*7+3+5+5+7+7,235
9,4+6+5+3+6+3+3+7+4+7+7+6+5+4*7+4+2+7+3+6+7+5+5+5+7*7+7+4+6+5+4*6,233
10,3+4+2*5+2*7+2+3+4+7+7+3+4+5+2+2+7*4+5+6+4+4+5+2+3+2+4+2+3*5+3+5,158
11,4+4+5+5*7+3*2+4+7+4+5+7+6+7+3*5+5+5+2+4+5+4+2+2+7+4+7+2*6+4+3+4,179
12,2+5+2+2+3+2+7+5+2+3+6+4*4+2*2+5+5*2+3+2*5*5+2*3+6+5+6+5*6*5+6*2,312
13,4+3+3+3+5+3+2+7+6+2+2*6*3+4+4+2+4+6+5+2+7+6*5+6+2+6*7+4+7+4+6+6,215
14,4*7+7+2+7+5+7*5+3+7+6+5+2+5+2+4+6+7+4+4+3+5+4*3+2+4*2*7+4*6+3*5,256
15,4+6+4+2+3+5+4+6+4+3+4+5+3+6+3+2+4*5+4+2+3*2*4+4+6+6+7+6+3+6+6+6,164
16,7+2+7+5+5+7+4*3*6+7*5+3+7+5*2+3+4+6*4+3+4+7*7+7*3+5+7+6+5*4+3+7,316
17,7+3+2+4+2+6+7+7*2+4+5*5+7+7*2*5+6+3+7+6+7+6+6+4+7+5+7*2+6+3+4*7,259
18,5+4+4+5+2+3+4*6+7*4+3+6+7+5+5+5+5+4+3+2+5+5+6+7+3+5+7+6+2+7+6+7,186
19,2+2+3+7+5+7+6+6+5+3*2+4+3+4+4+2+5*6+7+4+4+5*2+6+2+6+6*2+7*3+3+5,176
20,7+5+7+2+3*7+4+6*6+3+3+2+6+2+6+5+2+3*6+3+2+5+7+7+4+4*4+7+2+2+7+4,195
21,7*2*2+7+6+3+6+7+7+4*3+4*2+2+4+3+3*7+4+5+4+6+6+3+6+4+2*6+5+2*3+4,179
22,6+7+5+2+4+7+3+3+4+2+5+5+3+3*7*6+6+3+7+5+5+7+6*7+2+4+7+7+2+5+6+7,297
23,4+4*6+5*4+4+7+7+7*4*7+4+2*5+2+2*2+2+4+6+7+5*4*3+3+2+3+7*4+5+7+4,413
24,7+3*4+7+2+2+3+2*4+3+5*7+7+2+7+4+5+5+3+3+7+3+4+3+6+7+3+2+2+6+2+2,162
25,7*7*4+2*2+5+5+6+4+6+4+6+3+6*3+6+4+4+5+4+6+7+7+2+2+2+7+5*6+5+2+6,356
26,6+3*5*3+3*4+5*3+6+3+5+6+7*2+7+4+4+3+7+2+4+6+4+6+5+2+5*6+2*2*4*6,292
27,4+4+3+7+6*7*7+3+7+7+3+6+3+2+7+2*2*3*6+2*3+7*2+5+4+2+4*6*6*2+5+5,751
28,5+2*7+6+7+6+3+3+3*2+5+2+4*7*7+4+4+2+2+6+6+7+4+3+3*6+2+3+4+5+7+5,335
29,5+3+5+4+3*3+6+4+2*7+5*4+6+3+4+3+2+4+7+2+3+5+2+3+7+3+7+3+4+3*7+3,162
30,4+6+4*7+5*3+5+7+7+4+2+2+4*2+5+5+5+5+5*6+7*7+3+2*6+6*7+6+2+7+2+4,265
31,2+3+6+2+5+3+3+4+7+3+5+5+5+3+7*6+4*2+3+4+4+6+6+6+2*7+3*7*5+2*5+4,268
32,2+4*3+2+6+5+5+6+3+3+6+5+2+6+6+2*6*6*7+3+6+4+7+5+7+5+3+4+5+2+7+3,634
33,3+7+3+5+5+2+6+2+6*5+3+2+2+4+6+5+4+4+6+5+6+7+4+2+7+4+7+7+3+6*3*2,187
34,2+4+4+2+6*3+6+6+4+2*3+2+4+5+3+6+5*6+6+5+7+3+7+3+6+7+5+6*5+7+3+3,194
35,7*3+2+2+4+6*4+2+2+6+4+7+3*7+5+5+3+7+2+2*2+5+6+7+2*7+7+3+5*7+5*5,223
36,4+4+7+2+2+4+5+7+3+3*4+5+2*5+2+4*2+2+6+6+3*2+3+3+6+7+7+2+2+7+2+6,140
37,7+2+5+2*2+2+5+2+5*6+3+3*5+2+7+6+5+4+5*2*4+7+5+6+3+2+3+3+5+3+4+3,183
38,5+6+4+4+5+7+5+3+7+5+4+7+5+5+4+2+6+3+4+4+6+7+6+6*6+3+4*4+3+4+2+7,185
39,2+4+3+3+5+2+6+2+5+4+2+3+7+6+2*3+5+7+3+6+7*3+5+2+6+7+2+5*7*7*4+5,1109
40,4+7+2+4+5+6+2+5+7+7+3+6+4+2+6*3*4+5+3+6+3+5+6+3+6*6+2+7+5+7+6+7,237
41,6+7+5+7+4+4*6+7+7+6+6*6+2+3+7+5*4+3+4+2+6+4+6+3+7+7+5+7+7+6+4+7,219
42,3+3+2+3*3+6+2+5+2+2+3+4+6*2+7*6+3+7*2+2+6+6+3+5+2+6+4+5+5*4+7+2,180
43,5+7+3+6*2+2+3+6+7+2*2+4+7+2+3+5+5+5+6+7+5*7+6+4+6+2+3+3+3+6+2+4,167
44,4+4+6+7+7+4+5+4*6+3+7+5*4+3+3+6+7+5+3*5+3+4+4+2*7+6+3+4+7+6+5+5,191
